Local Government Area (LGA),Residential Total MWh,Number of Customers,Average kWh per customer per day,Residential General Supply MWh,Residential Off Peak Hot Water MWh,"Non-residential Small Sites
(0-160 MWh pa) MWh",Number of Small Site Customers,"Non-residential Med-Large Sites
(>160 MWh pa) MWh",Number of Med-Larage sites Customers
BURWOOD,"74,533","12,336",16.6,"68,755","5,778","40,136","1,688","109,487",106
CANADA BAY,"196,515","32,569",16.5,"183,258","13,257","63,374","2,780","159,411",244
HUNTERS HILL,"48,571","5,246",25.4,"44,328","4,243","9,400",443,"17,847",30
KU-RING-GAI,"412,671","39,863",28.4,"364,618","48,053","60,174","2,693","112,372",188
LANE COVE,"99,668","13,714",19.9,"92,685","6,983","36,005","1,470","90,481",170
MOSMAN,"104,820","13,729",20.9,"98,705","6,115","24,851","1,242","23,665",68
NORTH SYDNEY,"189,256","36,935",14,"181,557","7,700","165,675","6,594","276,983",513
RANDWICK,"322,126","58,397",15.1,"294,535","27,591","75,316","3,505","214,235",295
RYDE,"274,245","42,710",17.6,"244,138","30,108","112,782","4,119","477,837",624
STRATHFIELD,"88,371","13,349",18.1,"81,687","6,684","41,706","1,593","137,254",177
SUTHERLAND,"686,307","84,454",22.3,"557,891","128,416","149,941","7,389","242,090",420
SYDNEY,"431,756","96,209",12.3,"419,895","11,861","788,843","29,088","2,809,656","3,392"
UPPER HUNTER,"45,974","5,346",23.6,"36,145","9,829","23,392","1,233","16,384",50
WAVERLEY,"183,543","32,961",15.3,"174,786","8,757","69,083","3,323","115,004",177
WILLOUGHBY,"193,257","28,655",18.5,"180,052","13,205","135,097","5,168","347,856",446
WOOLLAHRA,"221,799","27,419",22.2,"209,435","12,364","62,043","3,031","53,834",144
