Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
18/9/22,9.2,23,0,WNW,41,12:38,17.4,41,0,WNW,11,1010.4,22.3,28,0,W,19,1008.2
19/9/22,7.6,22.5,0,WSW,33,10:05,15,66,0,WNW,7,1015,22.2,25,0,SW,15,1013.1
20/9/22,6.2,21.6,0,ENE,37,15:20,14.9,52,0,NNW,9,1023.7,20.5,48,3,ENE,19,1019.4
21/9/22,11.8,21.7,0,NE,30,10:23,17.9,74,8,W,2,1019.5,19.6,69,6,NE,19,1015.8
22/9/22,15.1,20.3,4.6,ENE,48,11:04,17,79,7,ENE,19,1018.9,18.6,62,8,NE,20,1017.4
23/9/22,14.6,19.7,5,NNE,39,14:05,16.7,87,8,NA,0,1018.1,18.6,74,7,ENE,15,1013.5
24/9/22,14.6,21.3,2,SE,35,13:19,18.8,80,8,WSW,4,1010.7,17.7,72,8,ESE,19,1009.5
25/9/22,9.1,22.6,5.2,ESE,31,15:31,13.3,89,0,NNW,6,1016.8,22.5,28,0,N,6,1013.2
26/9/22,9.7,21.2,0,ESE,26,14:47,14.6,67,8,W,9,1018.4,20,58,6,ESE,19,1014.7
27/9/22,11.5,22.7,0.2,NE,31,15:25,15.2,94,8,NW,4,1014.8,21.6,62,8,ENE,17,1010.7
28/9/22,13.2,22,13,SSE,33,15:25,17.2,75,0,SSW,9,1011.6,19.9,65,8,SE,24,1010.2
29/9/22,12.1,20.5,1,S,52,12:38,18.5,64,8,SSW,17,1017.5,17.1,79,8,S,20,1017.7
30/9/22,13.2,19.4,3.4,SSE,54,14:17,17,75,8,S,24,1025,18.2,66,8,SSE,30,1023.6
1/10/22,11.6,18.3,11.4,ESE,44,12:21,13.7,82,8,SSW,15,1024.7,16.2,57,8,SE,20,1021.2
2/10/22,9.5,18.6,1.4,ESE,37,13:32,12.2,79,8,WSW,11,1020.9,16.6,61,0,SE,30,1017.6
3/10/22,7.7,20.7,0,ENE,33,16:05,13.3,76,0,W,9,1023.3,19.7,40,0,NW,7,1020
4/10/22,8.5,24.6,0,SE,37,14:11,14.6,69,0,WSW,6,1022.6,22.6,46,8,SSE,24,1019.7
5/10/22,14.2,16.5,4.2,ENE,35,12:11,15.7,79,8,NNE,6,1027.9,16.1,83,8,ENE,15,1025.1
