,TOTALDEMAND,Demand_Previous,Demand_Lagged,Demand_Rolling,TEMPERATURE_lagged,CPI_lagged,Exports_lagged,GDP_lagged,Interest_lagged,Residential_lagged,Commercial_lagged,SolarOutput_lagged,Unemployment_lagged,Price_lagged,CommPrice_lagged,HourOfDay,DayOfWeek,DayOfYear,IsWeekend
count,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0,61992.0
mean,7897.00240263535,7897.638939957375,7897.102228405884,7889.130824456558,17.32567912180711,113.62584849663149,118212298215.89882,501638143276.5518,1.0941056910576916,1653212.8184120532,2012233.813282359,232417.5078881146,5.480818492708617,83.38501225964599,65.59586075624722,11.492482901019486,2.9934185056136275,181.7787779068267,0.28219770292941027
std,1266.0686387150215,1266.4005703827793,1266.3689841339917,574.4691184204202,5.9451998158292,4.535488443783248,6873075115.025747,23348936716.661762,0.7063431098179812,752423.4498249377,1723367.7417965098,152011.34785959576,0.7687067004285969,212.59291993180946,18.784392851944236,6.939233798137313,1.989200386498217,103.90093551069269,0.45007269079173934
min,4335.179166666666,4335.179166666666,4335.179166666666,6711.278688657397,-1.25,106.8,104534000000.0,463294000000.0,0.1,765282.0,291300.0,10166.0,3.4,-1000.0,41.0,0.0,0.0,1.0,0.0
25%,6982.084583333333,6982.4906249999985,6982.084583333333,7446.101110821774,13.2,110.0,113298000000.0,482814000000.0,0.25,971045.0,540014.0,114367.0,5.1,39.53,52.6,5.0,1.0,94.0,0.0
50%,7790.848333333334,7790.950833333333,7790.778333333333,7808.875382389608,17.65,113.5,116698000000.0,503912000000.0,1.5,1438604.0,1223554.0,188217.0,5.5,61.45,63.2,11.0,3.0,180.0,0.0
75%,8632.164583333333,8633.189166666667,8632.392291666667,8378.07455266203,21.4,116.6,124374000000.0,517892000000.0,1.5,2303017.0,3427764.0,340886.0,5.8,87.5625,71.9,18.0,5.0,271.0,1.0
max,13987.071666666665,13987.071666666665,13987.071666666665,9120.523745370368,44.650000000000006,126.1,130838000000.0,548968000000.0,2.25,3132951.0,5445457.0,622381.0,7.5,15100.0,118.0,23.0,6.0,366.0,1.0
